Customer name,Customer reference,Service rating,Service review title,Service review,NPS rating
Jane,Scott Sutton,5,Excellent service,Scott is very helpful and knowledgeable and went above and beyond to help find the correct product for us.,10
Geoffrey,Scott Sutton,5,,,10
Max,Chris Bowles,5,,,10
George,Rob Chart,5,,"Rob was excellent, he helped us with every step and we can’t thank him enough!",10
James,Carl Thorne,5,Great Service,Have been working with Carl Thorne for a number of years with our mortgage & have always received a great service. Quick responses to questions & clear answers provided. Would recommend.,10
Gareth,Tracey Copeland,5,Exceptional service,"We worked with Tracey again for our residential mortgage. The service Tracey provides is exceptional. Tracey arranged our mortgage renewal several months in advance, however, she constantly checked for better rates and kept us informed all the way. We will certainly continue to work with her and we couldn’t recommend her enough.",10
Kelly,Richard Owen,5,"Informative, knowledgeable and easy to deal with","Very informative, knowledgeable and easy to deal with. I have been using Richard for many years and continue to recommend his services.",10
Cristian-Marian,Petru Balan,5,,,10
James,Rob Chart,5,"Excellent experience, great service","We’ve worked with Rob for many years now, the excellence he provides has always exceeded our expectations, his knowledge of the market and contacts with lenders has always delivered a great result.",10
Emma,Oscar Delves,5,Absolutely excellent service - highly recommend!,"A truly superb service. Oscar is easy to talk to, professional, knowledgeable, patient and understanding which is crucial because I have a lot to learn. He is also great at promptly responding to messages and requests. The conversations flow well, are really productive and can even be fun. I always feel fully supported and am getting everything I need from the service.",
Jack,Phil James,5,,"We received excellent service from all at finance planning, which made getting our mortgage so much easier and stress free, I highly recommend them",10
Natalie,Rob Chart,5,,,10
Alasdair,Jim Maye,5,,,10
Raya,Emma Langford,5,Excellent,Exceptional service from Emma. I have used Emma at finance planning multiple times and have always received impeccable service and great rates.,10
Andrew,Joe White,5,Joe White Made Our Home Buying Journey Stress-Free and Seamless,"Joe didn't just find us a generic deal; he took the time to understand our unique financial situation and long-term goals. He patiently walked us through multiple scenarios until we found the perfect fit, never making us feel rushed or pressured.",10
Peter,Trevor Farley,5,,dealt with our mortgage transfer. all vary smooth,10
Andrew,Claire Lipscomb,5,Excellent service,Really thorough and professional service from start to finish. Found the right mortgage for us and also helped with our insurances. Highly recommended,10
Natalie,Hannah Logan-Hughes,5,Amazing service,"Hannah was amazing. Always there to help and answer any questions I had at a difficult time.
I could not recommend her enough.",10
Lianne,Carl Thorne,5,,,10
Adrian,Chris Bartrip,5,,"Efficient, trustworthy and easy to understand.",8
Guy,Paul Gent,5,Outstanding service.,I thought Paul Gent at Key Finance was great.Extremely professional and with the all important human touch too.,10
Lance,Philip Smith,5,,,10
Sandra,Philip Smith,5,Great service again !,"Accurate information given, prompt responses and always helpful",10
Alice,Jack Savory,5,Great service,Jack and the team were really helpful and available throughout our remortgage. They explained things clearly and moved things along when we needed support. I would happily recommend them to others.,10
David,Philip Smith,5,Great service,"I have always received clear, helpful advice and a great service",10
Robert,Jim Maye,5,,,10
Ben,Lucy Diton,5,Amazing,"The service couldn’t of been better, she made everything so easy for us and stress free, will use Lucy all the time amazing.",10
Chelsea,Joe White,5,Highly Recommend,"My husband and I had a wonderful experience with Joe at Finance Planning. This was our first time getting a mortgage and Joe made the process very clear and we felt he worked hard to get us the best rate! We deeply appreciate it, and would highly recommend using Finance Planning!",10
Thomas,Tracey Copeland,5,,Great service,10
Joanne,Scott Sutton,5,Excellent,"Lovely helpful team, fantastic advice and all round great service from start to finish",10
Iyabode,Phil James,5,Client centred service. Professionalism at all times.,Professionalism at all times. Prompt service. Detailed information resulting in informed decision making. Client centred service. Happy with the services received for the past 5 years and staying.,10
Susan,Phil James,5,Feedback,"Professional, responsive & a pleasure to work with",10
Robert,Jack Humphries,5,,"Our experience was great. Jack Humphries was professional, welcoming and friendly. Always prompt with emails and phone calls. And was very understanding.",10
Poppy,Andy Poustie,5,Andy was brilliant,Andy was brilliant. My and my boyfriend were first time buyers so had little knowledge of the move in process. Andy made us feel at ease and no question was too much for him. We couldn’t have done it without him. He explained everything and found us the best deal for an our mortgage. Thank you!,10
Bradley,Hannah Logan-Hughes,5,Hannah - ⭐️⭐️⭐️⭐️⭐️,"Hannah was excellent. Gave all the options and explained why the cover chosen was the best option to go with.
Would use again",10
Belinda,Torie Maleganeas,5,First Class Service,The service I received from Victoria was excellent. She guided me and helped me through all the difficulties of selling and buying a new property. She is very professional and extremely knowledgable in her field of work. Highly recommended.,10
Billie-Jo,Jack Humphries,5,Thank you Jack,"Jack was fantastic! I was very impressed with the service he provided. He made the process incredibly easy, and we thoroughly enjoyed working with him. I would highly recommend Jack!",10
Julie,Paul Gent,5,,"As always Paul Gent gave sound advice with a friendly smile, reassuring manner and usual professionalism",10
Omesh,Asmita Gurung,5,,,10
