Customer name,Customer reference,Service rating,Service review title,Service review,NPS rating
Nishanth,Adeel Nadeem,5,5 Star Service,"I found Adeel through a website which listed the top mortgage brokers in my area. Prior to finding Adeel, i had spoken to other mortgage brokers but i found them very hard to get a hold of when I had questions about my circumstances and the application process. It’s not unusual for Adeel to respond to my queries past his working hours, which is nice because I didn’t always have time to contact him in the day.

Adeel explained all aspects of the application to us and was very understanding of our situation. He patiently waited for us to submit all documents to him and find a property we liked. It didn’t take him long to secure us a mortgage that suited our situation.

I’d highly recommend Adeel to anyone looking for a mortgage.",10
Parveen,Claire Lipscomb,5,Best mortgages,"The mortgage advisor Claire is absolutely brilliant she looks for a deal to tailor and meet your needs, she finds the best deal and secures it, layer updates you if there’s a better deal.
I have been supported by Claire for the last 4 years and would highly recommend!",10
Jodene,Jim Maye,5,Flexible and pacey,"Jim was excellent. Fast paced, flexible and responsive to our changing needs. We got the best deal on the market.",10
Justine,Richard Owen,5,Excellent Service,"Great service from Richard as always . If anyone asks , I will always recommend him . For the last few years Richard has always got us the best deal .",10
Krishna,Emily Chattaway,5,Excellent- Highly Recommend,Emily has been very helpful and she has not only sorted my mortgages for all my properties but also started looking after my son who recently bought their new first home.,10
Jack,Claire Lipscomb,5,Remortgaging Couldn’t have been easier,Claire has been absolutely fantastic and made the daunting task of remortgaging a breeze. Thanks Claire!,10
Lewis,Rob Chart,5,10/10 Highly Recommended,"Professional, knowledgeable and always goes above and beyond. Rob was there to help guide us through every step of our purchase and we couldn’t have asked for more help. I would highly recommend to anyone in need of mortgage advice and assistance.",10
Frazer,Chris Williams,5,,Absolute amazing service,10
Matthew,Rob Chart,5,Rob is brilliant,Brilliant as ever. Rob is great,10
Alexandra,Joe White,5,Amazing service,I would not be able to say enough great things about Joe White and all he did for me and my partner to enable us to buy our first home. He made the whole journey easy and uncomplicated. Joe was easy to communicate with and it was never any bother to explain things to us multiple times. A massive thank you for us.,10
Lukasz,Adam Kowalczyk,5,,,10
Obiajulu,Simon Harris,5,,,
Trudy,Scott Sutton,5,,"Scott and his team did an amazing job on getting me a mortgage, with regular updates so I didn’t worry.
100% satisfied",10
Terry,Lorraine Smith,5,,,10
Matthew,Ellis Featherbe,5,Mortgage,"Ellis has been amazing. During the house buying process, he has been the only constant & reliable part ! Quick, timely responses and also helpful

I cannot fault anything ! Will be using him from now one moving forward for anything mortgage related",10
Stephen,Syd Martin,5,,,
Sally,Trevor Farley,5,Very good Company to sort out financial queries,Very thorough and helpful.  I have used them for 11 years for my mortgage and they always find the best deal,
Tek,Smriti Pun,5,Fantastic service from Smriti!,"I am very pleased with Smriti, who has been absolutely helpful from the very start to the end of my remortgage process. She made everything so simple and constantly updated me on our progress. I highly recommend her to everyone!",10
Jason,Peter Stickley,5,,"From start to finish nothing was to much trouble for Peter.. this was my first experience applying for and getting a mortgage for my house purchase. Peter talked me through everything I needed to know and other than the initial application I didn’t need to do anything else as it has all handled for me, all I had to do was choose a Mortgage that suited my requirements. . So over all I would highly recommend to anyone else and will be using him again when it’s time to remortgage. 10/10",10
Asida,Carl Thorne,5,,Very good!!!,10
Linzi,Chris Bartrip,5,Would recommend Chris for anyone looking for a mortgage,Chris recommended to me and was brilliant from start to finish. Kept me informed and was always quick to reply and honest with the information given. Would definitely recommend.,10
Lucy,Chris Williams,5,,"Supportive, honest, experienced.  Took the time to understand our situation and provide exceptional service, thank you.",
Samuel,Ellis Featherbe,5,,Ellis helped us with a remortgage and made it incredibly simple and stress free from start to finish,10
Cosmin,Carl Thorne,5,Carl did a great job,Carl is extremely patient and he will explain to you all details and angles. He did a great job for my first mortgage and re mortgage 2 years later.,10
Paul,Jonathan Peachey,5,Mortgage advice,"Excellent service provided by Jonathan who i have used many times, kind professional and cares about the customer",10
Amy,Peter Stickley,5,Stress Free,Very helpful and responsive to queries. Made the process nice and easy. I would definitely recommend,10
